A;B;C;D
End;Kraj;module;Magento_Staging
%name,;%name,;module;Magento_Theme
Welcome to %store_name.;%store_name: Dobrodošli!;module;Magento_Theme
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:";"Za kupovinu i pristup stranici Moj profil, koristite sledeće podatke: <a href=""%customer_url"">Moj profil</a> stranicu:";module;Magento_Theme
Email:;e-mail:;module;Magento_Theme
Password:;Lozinka:;module;Magento_Theme
Password you set when creating account;Lozinka koju ste postavili prilikom kreiranja profila;module;Magento_Theme
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.";"Zaboravili ste lozinku? Kliknite <a href=""%reset_url"">ovde</a> kako biste postavili novu.";module;Magento_Theme
When you sign in to your account, you will be able to:;Kada se prijavite na Vaš profil, bićete u mogućnosti da: ;module;Magento_Theme
Proceed through checkout faster;Nastavite postupak naplate brže;module;Magento_Theme
Check the status of orders;Proverite status narudžbine;module;Magento_Theme
View past orders;Pregledajte prošle narudžbine;module;Magento_Theme
Store alternative addresses (for shipping to multiple family members and friends);Spremite alternativne adrese (za dostavu na više članova porodice i prijatelja);module;Magento_Theme
Changes have been made to this section that have not been saved.;Promene su napravljene na deo koji nije spremljen.;module;Magento_Ui
This tab contains invalid data. Please resolve this before saving.;Ova kartica sadrži nevažeće podatke. Molimo rešite ovo pre spremanja.;module;Magento_Ui
Assign;Dodelite;module;Magento_Ui
Options;Mogućnosti;module;Magento_Ui
records found;pronađeni zapisi;module;Magento_Ui
selected;odabrano;module;Magento_Ui
of;od;module;Magento_Ui
Filters;Filteri;module;Magento_Ui
Password Reset Confirmation for %name;Potvrda ponovnog postavljanja lozinke za %name;module;Magento_User
%name,;;module;Magento_User
There was recently a request to change the password for your account.;Nedavno je bio zahtev za promjenu lozinke za Vaš korisnički račun.;module;Magento_User
If you requested this change, reset your password here:;Ako ste zatražili ovu promenu, ponovno postavite lozinku ovde:;module;Magento_User
If you did not make this request, you can ignore this email and your password will remain the same.;Ako niste postavili ovaj zahtev, možete ignorisati ovaj e-mail i Vaša lozinka će ostati ista.;module;Magento_User
Thank you,;Hvala Vam,;module;Magento_User
New %changes for %user_name;Nove %promjene za %user_name;module;Magento_User
Hello,;Pozdrav,;module;Magento_User
We have received a request to change the following information associated with your account at %store_name: %changes.;Primili smo zahtev za promenu sledećeg podatka povezanog s vašim računom na% store_name:% promene.;module;Magento_User
If you have not authorized this action, please contact us immediately at %store_email;Ako niste odobrili ovu akciju, obratite nam se odmah na %store_e-mail;module;Magento_User
or call us at %store_phone;ili nas kontaktirajte na %store_phone;module;Magento_User
Thanks,;Hvala Vam,;module;Magento_User
Take a look at %customer_name's Wish List;Pogledajte %customer_name's listu želja;module;Magento_Wishlist
%customer_name wants to share this Wish List from %store_name with you:;%customer_name želi podeliti listu želja iz %store_name s Vama:;module;Magento_Wishlist
Message from %customer_name:;Poruka od %customer_name:;module;Magento_Wishlist
View all Wish List items;Pregledajte sve proizvode sa liste želja;module;Magento_Wishlist
You will be redirected to the Worldpay website.;Bićete preusmereni na Worldpay.;module;Magento_Worldpay
Continue to Worldpay;Nastavite na Worldpay;module;Magento_Worldpay
Welcome to %store_name;Dobrodošli;theme;frontend/Magento/luma
%name,;%name,;theme;frontend/Magento/luma
Welcome to %store_name.;%store_name: Dobrodošli!;theme;frontend/Magento/luma
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:";"Da biste se prijavili na našu stranicu, koristite podatke tokom naplate ili <a href=""%customer_url"">Moj račun</a> stranicu:";theme;frontend/Magento/luma
Email:;e-mail:;theme;frontend/Magento/luma
Password:;Lozinka:;theme;frontend/Magento/luma
Password you set when creating account;Lozinka koju ste postavili prilikom kreiranja računa;theme;frontend/Magento/luma
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.";"Zaboravili ste lozinku? Kliknite <a href=""%reset_url"">ovde</a> kako biste postavili novu.";theme;frontend/Magento/luma
When you sign in to your account, you will be able to:;Kada se prijavite na Vaš račun, moći ćete: ;theme;frontend/Magento/luma
Quick Checkout;Brza naplata;theme;frontend/Magento/luma
Proceed through checkout faster;brže obaviti postupak naplate;theme;frontend/Magento/luma
Order Status;Status narudžbine;theme;frontend/Magento/luma
Check the status of orders;proveriti status narudžbine;theme;frontend/Magento/luma
Manage Addresses;Upravljajte adresama;theme;frontend/Magento/luma
Store alternative addresses;spremiti alternativne adrese;theme;frontend/Magento/luma
For shipping to multiple family members and friends;Za dostavu na više članova porodice i prijatelja;theme;frontend/Magento/luma
Order History;Istorija narudžbine;theme;frontend/Magento/luma
View past orders;pregledajte prethodne narudžbine;theme;frontend/Magento/luma
Footer;Podnožje;theme;frontend/Magento/luma
About Us;O nama;theme;frontend/Magento/luma
Customer Service;Služba za korisnike;theme;frontend/Magento/luma
"<a href=""tel:%store_phone"">%store_phone</a>";"<a href=""tel:%store_phone"">%store_phone</a>";theme;frontend/Magento/luma
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.";"Radno vreme:<br /><span class=""no-link"">%store_hours</span>.";theme;frontend/Magento/luma
Credit memo for your %store_name order;Novčani podsetnik za Vašu %store_name narudžbinu ;theme;frontend/Magento/luma
Thank you for your order from %store_name.;Hvala na Vašoj narudžbini!;theme;frontend/Magento/luma
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.";"Status Vaše narudžbine možete proveriti na <a href=""%account_url"">Vašem profilu</a>.";theme;frontend/Magento/luma
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>.";"Za sva pitanja u vezi Vaše narudžbine, možete nam poslati e-mail na <a href=""mailto:%store_e-mail"">%store_e-mail</a>.";theme;frontend/Magento/luma
Your Credit Memo #%creditmemo_id for Order #%order_id;Vaš novčani zapisnik #%creditmemo_id za narudžbinu #%order_id;theme;frontend/Magento/luma
Billing Info;Podaci za naplatu;theme;frontend/Magento/luma
Shipping Info;Podaci za dostavu;theme;frontend/Magento/luma
Payment Method;Način plaćanja;theme;frontend/Magento/luma
Shipping Method;Način dostave;theme;frontend/Magento/luma
Update to your %store_name credit memo;Ažuriranje Vašeg %store_name iznosa za povrat;theme;frontend/Magento/luma
Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.;Vaša narudžbina #%increment_id je ažurirana sa statusom od <strong>%order_status</strong>.;theme;frontend/Magento/luma
Invoice for your %store_name order;%store_name: račun za Vašu narudžbinu;theme;frontend/Magento/luma
Your Invoice #%invoice_id for Order #%order_id;Vaš račun #%invoice_id za narudžbinu #%order_id;theme;frontend/Magento/luma
Update to your %store_name invoice;Ažurirajte na Vaš %store_name račun;theme;frontend/Magento/luma
Your %store_name order confirmation;%store_name: potvrda narudžbine;theme;frontend/Magento/luma
%customer_name,;%customer_name,;theme;frontend/Magento/luma
Once your package ships we will send you a tracking number.;Kada pošaljemo kupljeni proizvod, dobićete broj za praćenje pošiljke.;theme;frontend/Magento/luma
"Your Order <span class=""no-link"">#%increment_id</span>";"Vaša narudžbina <span class=""no-link"">#%increment_id</span>";theme;frontend/Magento/luma
"Placed on <span class=""no-link"">%created_at</span>";"Naručeno <span class=""no-link"">%created_at</span>";theme;frontend/Magento/luma
Update to your %store_name order;Ažurirajte na Vašu %store_name narudžbinu ;theme;frontend/Magento/luma
Your %store_name order has shipped;%store_name: Vaša narudžbina je poslata;theme;frontend/Magento/luma
Your shipping confirmation is below. Thank you again for your business.;U nastavku se nalazi potvrda o dostavi. Hvala Vam na narudžbini.;theme;frontend/Magento/luma
Your Shipment #%shipment_id for Order #%order_id;Pošiljka #%shipment_id za narudžbinu #%order_id;theme;frontend/Magento/luma
Update to your %store_name shipment;Ažurirajte %store_name pošiljku;theme;frontend/Magento/luma
Backup options;Mogućnosti sigurnosne kopije;lib;lib/web/mage/adminhtml/backup.js
Warning;Upozorenje;lib;lib/web/mage/adminhtml/backup.js
Cancel;Otkažite;lib;lib/web/mage/adminhtml/backup.js
Ok;Ok;lib;lib/web/mage/adminhtml/backup.js
Insert Widget...;Unesite widget...;lib;lib/web/mage/adminhtml/wysiwyg/widget.js
No records found.;Nisu pronađeni zapisi;lib;lib/web/mage/backend/suggest.js
Recent items;Nedavni proizvodi;lib;lib/web/mage/backend/suggest.js
Show all...;Prikažite sve...;lib;lib/web/mage/backend/suggest.js
Method %s does not exist on jQuery.decorate;Metoda %s ne postoji u jQuery.decorate;lib;lib/web/mage/decorate.js
Close;Zatvorite;lib;lib/web/mage/dropdown.js
Next;Sledeće;lib;lib/web/mage/gallery/gallery.js
Previous;Prethodno;lib;lib/web/mage/gallery/gallery.js
Please wait...;Pričekajte molim...;lib;lib/web/mage/loader.js
Loading...;Učitavanje...;lib;lib/web/mage/loader.js
Please wait...;Pričekajte molim...;lib;lib/web/mage/loader_old.js
Loading...;Učitavanje...;lib;lib/web/mage/loader_old.js
All;Sve;lib;lib/web/mage/menu.js
more;više;lib;lib/web/mage/menu.js
Cancel;Otkažite;lib;lib/web/mage/translate-inline-vde.js
Save;Spremite;lib;lib/web/mage/translate-inline-vde.js
Translate;Prevedite;lib;lib/web/mage/translate-inline.js
Submit;Pošaljite;lib;lib/web/mage/translate-inline.js
Close;Zatvorite;lib;lib/web/mage/translate-inline.js
Please enter a value less than or equal to %s.;Unesite manju ili jednaku vrednost od %s.;lib;lib/web/mage/validation.js
Please enter a value greater than or equal to %s.;Unesite veću ili jednaku vrednost od %s.;lib;lib/web/mage/validation.js
Maximum length of this field must be equal or less than %1 symbols.;Maksimalna dužina u ovom polju mora biti jendaka ili manja od %1 znakova.;lib;lib/web/mage/validation.js
This is a required field.;Ovo je obavezno polja.;lib;lib/web/mage/validation.js
Please enter a date between %min and %max.;Unesite datum između %min i %max.;lib;lib/web/mage/validation/validation.js
Please enter a valid year (1900-%1).;Unesite godinu (1900-%1).;lib;lib/web/mage/validation/validation.js
Please enter a valid day (1-%1).;Unesite dan (1-%1).;lib;lib/web/mage/validation/validation.js
Please enter a date from the past.;Unesite datum iz prošlosti.;lib;lib/web/mage/validation/validation.js
Add Products By SKU;Dodajte proizvod prema SKU;module;Magento_AdvancedCheckout
We could not detect a size.;Nije moguće otkriti veličinu.;module;Magento_Backend
We don't recognize or support this file extension type.;Nije moguće prepoznati ekstenziju datoteke ili je nepodržana.;module;Magento_Backend
This payment is not available;Plaćanje nije dostupno;module;Magento_Braintree
MM;MM;module;Magento_Braintree
YY;GG;module;Magento_Braintree
Please try again with another form of payment.;Pokušajte ponovno s nekom drugom formom plaćanja.;module;Magento_Braintree
Sorry, but something went wrong.;Dogodila se greška.;module;Magento_Braintree
Add Products to New Option;Dodajte nove proizvode u nove mogućnosti;module;Magento_Bundle
"Add Products to Option ""%1""";"Dodajte proizvode u mogućnost ""%1""";module;Magento_Bundle
Warning message;Upozerenje;module;Magento_Catalog
Submit;Pošaljite;module;Magento_Catalog
We don't recognize or support this file extension type.;Nije moguće prepoznati ekstenziju datoteke ili je nepodržana.;module;Magento_Catalog
